"Series Key",ELEC.GEN.COW-CO-99.M,"Series Key",ELEC.GEN.NG-CO-99.M,"Series Key",ELEC.GEN.HYC-CO-99.M,"Series Key",ELEC.GEN.WND-CO-99.M
"Series Name","ELEC.GEN.COW-CO-99.M, monthly","Series Name","ELEC.GEN.NG-CO-99.M, monthly","Series Name","ELEC.GEN.HYC-CO-99.M, monthly","Series Name","ELEC.GEN.WND-CO-99.M, monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",202301,"Start Date",202301,"Start Date",202301,"Start Date",202301
"End Date",200101,"End Date",200101,"End Date",200101,"End Date",200101
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

200812,3122.51114,200812,1197.47924,200812,164.70758,200812,328.50014
200811,2700.8599,200811,1074.56291,200811,3.4429,200811,331.86406
200810,2574.56124,200810,1238.42057,200810,185.90483,200810,257.19466
200809,2694.34709,200809,1156.19652,200809,217.7427,200809,166.17575
200808,3263.82761,200808,1332.40565,200808,128.74303,200808,192.82269
200807,3230.18713,200807,1448.70358,200807,226.73984,200807,164.89934
200806,2986.01551,200806,951.30116,200806,183.72153,200806,246.13942
200805,2757.57366,200805,868.36447,200805,232.03016,200805,295.89037
200804,2416.86413,200804,964.46533,200804,191.17116,200804,301.86905
200803,2790.54926,200803,1113.71955,200803,209.23741,200803,306.94446
200802,3077.13604,200802,1023.5734,200802,115.9311,200802,302.77253
200801,3213.1124,200801,1118.28221,200801,179.95474,200801,325.77081
200712,3183.09216,200712,1271.44263,200712,96.77681,200712,219.83522
200711,2951.22703,200711,1155.20338,200711,111.46703,200711,220.96758
200710,2747.94691,200710,1400.16058,200710,185.72107,200710,201.2073
200709,2589.34517,200709,1599.96945,200709,204.82433,200709,126.16131
200708,3223.44771,200708,1460.46439,200708,207.3234,200708,55.88438
200707,3205.35574,200707,1575.15443,200707,163.37574,200707,55.27167
200706,3011.43554,200706,1425.99339,200706,101.91142,200706,55.27736
200705,2940.26217,200705,1128.97251,200705,115.43165,200705,49.51246
200704,2819.93915,200704,968.83164,200704,118.63313,200704,81.52051
200703,2979.48021,200703,854.79304,200703,124.9637,200703,83.51669
200702,2979.69919,200702,960.49655,200702,119.19288,200702,61.894
200701,3304.50829,200701,1212.41911,200701,179.91147,200701,80.46764
200612,3214.59286,200612,1180.15261,200612,143.45964,200612,67.51117
200611,3067.57908,200611,939.0358,200611,70.93083,200611,70.74054
200610,2848.87617,200610,1068.68814,200610,93.48291,200610,98.63873
200609,3092.9204,200609,717.31971,200609,144.08931,200609,55.64206
200608,3132.89295,200608,1252.79035,200608,189.86705,200608,50.51773
200607,3291.60113,200607,1272.91008,200607,210.5627,200607,58.10305
200606,3201.84878,200606,1029.67689,200606,194.24203,200606,72.70344
200605,3140.41902,200605,748.75137,200605,157.53386,200605,62.42577
200604,2803.81568,200604,736.57053,200604,166.19362,200604,89.97201
200603,2934.74654,200603,1005.43745,200603,146.94126,200603,87.93726
200602,2496.42911,200602,920.88664,200602,128.65106,200602,77.50446
200601,3043.70324,200601,1046.41987,200601,145.25276,200601,73.83979
200512,3208.01985,200512,1100.09474,200512,59.47472,200512,56.78904
200511,2751.27093,200511,1012.22858,200511,54.58123,200511,58.37826
200510,2553.63455,200510,959.80239,200510,85.47128,200510,54.75639
200509,2796.30471,200509,1026.64266,200509,123.59621,200509,64.13512
200508,3205.56391,200508,1135.35922,200508,127.49662,200508,39.82088
200507,3101.82264,200507,1420.45683,200507,146.84693,200507,63.03224
200506,3027.05875,200506,816.49705,200506,146.50986,200506,58.01392
200505,3046.31217,200505,887.73803,200505,167.01603,200505,44.42744
200504,2716.75755,200504,937.51981,200504,126.00208,200504,47.83078
200503,3224.72423,200503,719.96817,200503,134.9461,200503,98.49754
200502,2819.54941,200502,870.66324,200502,118.35465,200502,85.00357
200501,3119.11617,200501,1036.31942,200501,125.00029,200501,105.54882
200412,3222.81911,200412,1046.67204,200412,87.43221,200412,59.79103
200411,2767.79657,200411,1126.62822,200411,35.01117,200411,28.74853
200410,2878.95381,200410,903.67008,200410,88.87467,200410,27.09096
200409,2913.87575,200409,825.89078,200409,139.72256,200409,10.69353
200408,3243.89714,200408,1003.74177,200408,154.30821,200408,7.79814
200407,3150.41087,200407,1242.36412,200407,175.38493,200407,7.35921
200406,2856.08956,200406,894.67789,200406,87.23849,200406,9.0732
200405,2831.31412,200405,875.0083,200405,106.21921,200405,12.81825
200404,2673.87982,200404,703.61248,200404,89.32515,200404,12.15477
200403,3015.19024,200403,621.29414,200403,75.73382,200403,17.31253
200402,3045.26108,200402,679.75883,200402,71.01432,200402,13.6634
200401,3248.90241,200401,824.17765,200401,84.40025,200401,13.63744
200312,3271.323,200312,805.752,200312,100.612,200312,16.22
200311,2998.913,200311,756.528,200311,77.291,200311,13.569
200310,2953.671,200310,626.338,200310,77.369,200310,12.232
200309,2818.889,200309,762.719,200309,145.481,200309,9.659
200308,3254.406,200308,1184.71,200308,187.116,200308,8.559
200307,3344.072,200307,1046.989,200307,175.878,200307,8.067
200306,2968.705,200306,578.618,200306,140.319,200306,9.173
200305,2891.44,200305,708.16,200305,100.847,200305,11.191
200304,2832.471,200304,513.598,200304,70.037,200304,13.307
200303,2867.605,200303,726.284,200303,48.959,200303,17.202
200302,2764.025,200302,735.173,200302,56.925,200302,11.089
200301,3150.104,200301,781.165,200301,81.364,200301,16.841
200212,3175.463,200212,735.481,200212,56.519,200212,14.6
200211,2911.461,200211,672.031,200211,62.635,200211,12.066
200210,2951.146,200210,803.861,200210,36.152,200210,9.972
200209,2763.029,200209,770.189,200209,71.768,200209,9.832
200208,3135.992,200208,849.234,200208,132.929,200208,10.096
200207,3219.683,200207,959.842,200207,146.596,200207,7.529
200206,3037.86,200206,798.852,200206,150.506,200206,9.63
200205,3028.547,200205,681.159,200205,152.696,200205,10.517
200204,2638.268,200204,750.604,200204,112.207,200204,12.701
200203,2558.247,200203,810.051,200203,96.342,200203,11.379
200202,2730.014,200202,534.378,200202,84.731,200202,14.603
200201,3238.541,200201,662.809,200201,105.925,200201,16.08
200112,3157.884,200112,764.957,200112,83.146,200112,16.199
200111,2992.049,200111,631.702,200111,77.601,200111,5.034
200110,2647.793,200110,873.818,200110,119.924,200110,5.032
200109,2809.067,200109,727.908,200109,145.638,200109,2.125
200108,3246.174,200108,837.291,200108,188.28,200108,2.931
200107,3235.081,200107,869.525,200107,161.61,200107,1.423
200106,3049.285,200106,692.832,200106,175.294,200106,1.797
200105,3152.661,200105,640.381,200105,151.592,200105,2.876
200104,2689.543,200104,873.971,200104,95.425,200104,2.55
200103,2843.836,200103,896.1,200103,98.212,200103,2.074
200102,2881.716,200102,798.303,200102,86.63,200102,2.441
200101,3245.939,200101,785,200101,111.346,200101,4.158
